 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.5708E+02

Qext= 1.9396E+00 Qsca= 1.9396E+00 Qabs= 0.0000E+00 <cos>= 9.5606E-01
                 Qbk = 4.1028E-02
  theta       S11           POL           S33           S34
  40.22   1.55115E+03  -1.26296E-01   1.50610E+03   3.15242E+02
  40.73   2.17357E+03  -8.32016E-02   2.13305E+03  -3.76586E+02
  41.23   2.49107E+03   2.22347E-03   2.47582E+03   2.75231E+02
  41.73   8.76147E+02  -3.13771E-01   8.08069E+02  -1.97695E+02
  42.23   2.81262E+03   4.02123E-02   2.81034E+03  -1.43021E+00
  42.74   5.36635E+02  -4.49923E-01   4.66694E+02   1.08988E+02
  43.24   2.24121E+03   3.04357E-02   2.22339E+03  -2.73630E+02
  43.74   1.00553E+03  -7.29423E-02   9.57754E+02   2.97367E+02
  44.25   1.20428E+03  -6.11319E-02   1.15458E+03  -3.34402E+02
  44.75   1.66537E+03   7.24906E-02   1.64457E+03   2.33013E+02
  45.25   4.12476E+02  -4.47214E-01   3.39869E+02  -1.43521E+02
  45.75   1.79881E+03   1.13785E-01   1.78706E+03  -1.56012E+01
  46.26   3.27853E+02  -4.85405E-01   2.59017E+02   1.22766E+02
  46.76   1.32331E+03   1.06343E-01   1.29562E+03  -2.29558E+02
  47.26   7.67336E+02  -1.21105E-02   7.22746E+02   2.57599E+02
  47.77   5.90920E+02  -4.63801E-03   5.38414E+02  -2.43493E+02
  48.27   1.22472E+03   1.21860E-01   1.20343E+03   1.71497E+02
  48.77   1.49917E+02  -6.80502E-01   8.69927E+01  -6.70787E+01
  49.27   1.21879E+03   1.64294E-01   1.20168E+03  -3.63476E+01
  49.78   2.38842E+02  -3.17349E-01   1.87837E+02   1.26561E+02
  50.28   7.97358E+02   1.65538E-01   7.65269E+02  -1.80892E+02
  50.78   6.42829E+02   7.03557E-02   6.14469E+02   1.83337E+02
  51.28   2.74619E+02   5.76044E-02   2.26544E+02  -1.54411E+02
  51.79   9.46228E+02   1.65160E-01   9.30642E+02   6.94861E+01
  52.29   4.66096E+01  -9.88903E-01  -6.61451E-01  -6.89291E+00
  52.79   8.54856E+02   1.97366E-01   8.32404E+02  -9.70341E+01
  53.30   1.99673E+02  -1.36442E-02   1.67830E+02   1.08143E+02
  53.80   4.93769E+02   1.86240E-01   4.53571E+02  -1.72118E+02
  54.30   5.10392E+02   1.95055E-01   4.92292E+02   9.07565E+01
  54.80   1.34037E+02   6.46557E-03   8.44479E+01  -1.04085E+02
  55.31   6.63148E+02   2.47795E-01   6.41319E+02  -3.83822E+01
  55.81   3.39931E+01  -6.70181E-01  -6.48994E+00   2.43806E+01
  56.31   5.16326E+02   2.52035E-01   4.76199E+02  -1.51303E+02
  56.82   1.72945E+02   2.18448E-01   1.47942E+02   8.12144E+01
  57.32   2.44078E+02   1.51539E-01   1.88352E+02  -1.50763E+02
  57.82   3.42457E+02   3.41671E-01   3.20949E+02   2.40381E+01
  58.32   5.65436E+01  -5.66072E-01   4.16557E+00  -4.64255E+01
  58.83   3.53783E+02   3.79495E-01   3.17618E+02  -7.90904E+01
  59.33   7.24895E+01  -3.10551E-01   4.03188E+01   5.58779E+01
  59.83   1.97408E+02   3.39089E-01   1.45064E+02  -1.15955E+02
  60.34   1.87710E+02   2.38046E-01   1.70936E+02   6.33975E+01
  60.84   6.00856E+01  -2.82926E-01   8.95523E+00  -5.69306E+01
  61.34   2.34883E+02   4.08689E-01   2.14342E+02  -3.58293E+00
  61.84   6.09446E+01  -6.90157E-01   3.02738E+01   3.20716E+01
  62.35   1.59938E+02   5.22488E-01   1.23933E+02  -5.68992E+01
  62.85   1.86242E+02   3.79000E-02   1.76524E+02   5.89510E+01
  63.35   4.16246E+01   5.76367E-01   1.48617E+00  -3.39828E+01
  63.85   2.83505E+02   2.67955E-01   2.73137E+02   6.35269E-01
  64.36   3.01181E+01  -3.75161E-01   5.44358E+00   2.73824E+01
  64.86   2.43860E+02   3.98849E-01   2.13174E+02  -6.75603E+01
  65.36   1.44105E+02   1.34276E-01   1.36470E+02   4.20451E+01
  65.87   1.21154E+02   5.32063E-01   7.39192E+01  -7.11260E+01
  66.37   2.86072E+02   3.05949E-01   2.71273E+02  -2.42371E+01
  66.87   2.93919E+01   8.29901E-01  -1.17139E+01  -1.14753E+01
  67.37   3.21748E+02   3.85110E-01   2.72473E+02  -1.18012E+02
  67.88   5.68276E+01   5.30073E-01   3.45973E+01   3.35414E+01
  68.38   2.13965E+02   4.04878E-01   1.33089E+02  -1.43400E+02
  68.88   1.56492E+02   5.08423E-01   1.34750E+02  -1.23986E+00
  69.39   7.91506E+01   1.96485E-01   2.43629E+00  -7.75694E+01
  69.89   2.16361E+02   5.20925E-01   1.63794E+02  -8.53255E+01
  70.39   2.52833E+01  -5.84124E-01  -1.72324E+01   1.11435E+01
  70.89   1.80031E+02   4.40457E-01   9.25268E+01  -1.32523E+02
  71.40   7.08804E+01   3.15723E-01   5.52702E+01   3.83202E+01
  71.90   8.68901E+01  -6.46180E-02   2.22177E+00  -8.66801E+01
  72.40   1.32142E+02   5.94234E-01   1.05405E+02  -1.36143E+01
  72.91   6.21532E+01  -9.21987E-01   2.40669E+01  -8.47759E-02
  73.41   1.10114E+02   6.42996E-01   5.47019E+01  -6.41853E+01
  73.91   1.48280E+02  -6.76708E-02   1.46547E+02   2.02503E+01
  74.41   4.55599E+01  -5.94207E-02  -7.26904E+00  -4.48948E+01
  74.92   2.38781E+02   3.31133E-01   2.19787E+02  -4.95778E+01
  75.42   6.36673E+01  -6.44697E-01   4.80178E+01   7.93900E+00
  75.92   2.16929E+02   4.34896E-01   1.53620E+02  -1.20660E+02
  76.42   2.29574E+02   1.55321E-01   2.26130E+02  -1.72533E+01
  76.93   8.82323E+01   9.80949E-02   2.33039E+01  -8.46579E+01
  77.43   4.17260E+02   3.65989E-01   3.53617E+02  -1.60435E+02
  77.93   5.49415E+01  -6.70503E-01   3.73877E+01   1.62376E+01
  78.44   3.97674E+02   3.12580E-01   2.64382E+02  -2.69806E+02
  78.94   2.43696E+02   3.27395E-01   2.30238E+02  -3.53932E+00
  79.44   2.24814E+02  -1.90321E-01   1.17474E+02  -1.86843E+02
  79.94   4.48766E+02   4.50778E-01   3.54781E+02  -1.86009E+02
  80.45   1.94487E+02  -4.40886E-01   1.73750E+02  -1.68417E+01
  80.95   4.48167E+02   2.36207E-01   2.99578E+02  -3.16071E+02
  81.45   3.92805E+02   2.42521E-01   3.80521E+02  -2.05891E+01
  81.96   3.62474E+02  -2.39580E-01   2.78871E+02  -2.14655E+02
  82.46   5.46776E+02   3.89830E-01   4.53924E+02  -2.17909E+02
  82.96   5.28035E+02  -3.72516E-02   5.21900E+02  -7.78083E+01
  83.46   4.49346E+02   9.25502E-02   3.48270E+02  -2.80874E+02
  83.97   8.59778E+02   2.92655E-01   7.93752E+02  -2.14160E+02
  84.47   4.94176E+02  -1.09765E-01   4.77946E+02  -1.13295E+02
  84.97   8.32128E+02   2.54360E-01   6.91516E+02  -4.11633E+02
  85.47   9.71175E+02   2.72451E-01   9.25019E+02  -1.32321E+02
  85.98   5.88543E+02  -1.19832E-01   5.26816E+02  -2.52733E+02
  86.48   1.29440E+03   3.66665E-01   1.11427E+03  -4.56759E+02
  86.98   7.94701E+02   9.68659E-02   7.90928E+02   7.53226E+00
  87.49   1.07224E+03   1.39283E-01   9.19071E+02  -5.31704E+02
  87.99   1.30155E+03   4.02521E-01   1.17996E+03  -1.65087E+02
  88.49   8.96142E+02  -6.18255E-02   8.81594E+02  -1.50974E+02
  88.99   1.36760E+03   3.35553E-01   1.19543E+03  -4.80297E+02
  89.50   1.21359E+03   2.78180E-01   1.16539E+03   2.60029E+01
  90.00   1.09721E+03   7.51049E-02   1.05703E+03  -2.82424E+02
  90.50   1.37706E+03   3.84452E-01   1.24804E+03  -2.41670E+02
  91.01   1.24817E+03   2.31343E-01   1.21272E+03   6.20122E+01
  91.51   1.05010E+03   1.49169E-01   1.01713E+03  -2.08825E+02
  92.01   1.41830E+03   4.17947E-01   1.28526E+03  -9.10690E+01
  92.51   1.08418E+03   2.06604E-01   1.04282E+03   1.94403E+02
  93.02   9.57830E+02   2.12175E-01   9.16544E+02  -1.89961E+02
  93.52   1.34178E+03   4.75742E-01   1.16839E+03   1.66601E+02
  94.02   7.06910E+02   3.21291E-02   6.75852E+02   2.05984E+02
  94.53   9.26908E+02   3.73936E-01   8.55199E+02  -8.75125E+01
  95.03   9.10684E+02   4.37660E-01   7.34334E+02   3.62272E+02
  95.53   4.39911E+02  -1.24196E-01   4.24793E+02   1.00438E+02
  96.03   6.95037E+02   4.43278E-01   6.13672E+02   1.07524E+02
  96.54   4.15531E+02   2.36215E-01   2.70093E+02   3.00135E+02
  97.04   2.98351E+02  -2.03870E-01   2.80713E+02   8.07078E+01
  97.54   2.80816E+02   3.76515E-01   2.19399E+02   1.39796E+02
  98.04   2.06102E+02  -2.99756E-01   6.69436E+01   1.84878E+02
  98.55   1.02268E+02  -7.45424E-01   6.36668E+01   2.43673E+01
  99.05   1.07278E+02  -2.72273E-01   6.57842E+01   7.95484E+01
  99.55   1.15509E+02  -7.83047E-01  -5.24224E+01   4.91245E+01
 100.06   1.03510E+02   1.02392E-01   4.38347E+01  -9.31694E+01
 100.56   1.03035E+02  -6.91370E-01   6.95255E+01   2.66076E+01
 101.06   1.57477E+02   2.05913E-01  -2.92314E+01  -1.51304E+02
 101.56   2.89813E+02   4.58276E-01   2.13982E+02  -1.43402E+02
 102.07   8.11928E+01  -4.12129E-01   5.97381E+01  -4.36341E+01
 102.57   3.86463E+02   4.39936E-01   2.19412E+02  -2.68897E+02
 103.07   2.85919E+02   6.94927E-01   1.90046E+02  -7.84429E+01
 103.58   2.35602E+02   1.30230E-01   2.29492E+02  -4.35920E+01
 104.08   3.55198E+02   5.12627E-01   2.36564E+02  -1.92481E+02
 104.58   3.21833E+02   7.43683E-01   2.00205E+02   7.88037E+01
 105.08   2.83176E+02   1.74373E-01   2.74396E+02   4.95721E+01
 105.59   1.75686E+02   7.29119E-01   1.16862E+02  -2.82883E+01
 106.09   4.00599E+02   6.09949E-01   2.59829E+02   1.82385E+02
 106.59   8.86781E+01   1.36617E-01   3.87927E+01   7.88173E+01
 107.09   1.70983E+02   3.33144E-01   1.59545E+02   2.31504E+01
 107.60   1.84441E+02   7.16563E-01   4.79963E+01   1.19363E+02
 108.10   8.08158E+01  -7.53055E-01  -4.17051E+01  -3.29861E+01
 108.60   6.53264E+01  -2.17267E-01   6.32375E+01  -8.19251E+00
 109.11   5.43716E+01  -5.36194E-01  -4.08082E+01  -2.10004E+01
 109.61   1.26285E+02  -5.09624E-01  -4.34557E+01  -9.95873E+01
 110.11   6.00389E+01   8.81951E-01   1.42397E+01  -2.44551E+01
 110.61   1.28195E+02  -3.10333E-01   9.54015E+01  -7.58280E+01
 111.12   1.04890E+02   6.45648E-01  -4.24452E+01  -6.79272E+01
 111.62   3.22410E+02   7.88161E-01   1.83631E+02  -7.52030E+01
 112.12   6.96876E+01   5.25829E-01   5.81854E+01  -1.13160E+01
 112.63   2.08716E+02   6.66524E-01   1.28389E+02  -8.78972E+01
 113.13   2.87028E+02   9.09781E-01   1.03633E+02  -5.87801E+01
 113.63   6.91335E+01  -2.05547E-01   1.01055E+01   6.68984E+01
 114.13   1.42530E+02   1.88036E-01   1.33238E+02  -4.29436E+01
 114.64   6.50440E+01   6.52955E-01  -2.89496E+01   3.98607E+01
 115.14   1.28283E+02  -5.84164E-01   1.87423E+01   1.02418E+02
 115.64   2.12822E+01   4.74243E-02  -2.01885E+01   6.65863E+00
 116.15   7.99776E+01  -4.78192E-01   6.93433E+01  -1.11922E+01
 116.65   5.77640E+01  -6.96248E-02  -4.81881E+01   3.15975E+01
 117.15   2.25269E+02   5.65963E-01   7.75076E+00  -1.85557E+02
 117.65   9.04006E+01   4.79078E-01   2.69906E+01  -7.46198E+01
 118.16   9.42230E+01   2.73849E-01   4.75784E+01  -7.71264E+01
 118.66   2.48793E+02   4.98697E-01   2.61507E+01  -2.14057E+02
 119.16   1.03297E+02   8.35849E-01  -7.95743E+00   5.61447E+01
 119.66   1.50150E+02   1.11677E-01   1.48197E+02   1.73689E+01
 120.17   2.39545E+01   9.47404E-01   3.34431E+00  -6.89846E+00
 120.67   1.67301E+02   3.96980E-01   1.12743E+02   1.04248E+02
 121.17   8.25598E+01   4.98180E-01  -2.97488E+01   6.51113E+01
 121.68   1.15995E+02  -2.94518E-01   2.43625E+01  -1.08140E+02
 122.18   4.13208E+01  -7.66630E-02   4.03015E+01   8.55350E+00
 122.68   1.40870E+02  -1.31103E-01  -4.55017E+01  -1.32034E+02
 123.18   1.98577E+02  -5.53604E-02  -5.19608E+01  -1.91343E+02
 123.69   7.36867E+01   9.33067E-01   2.64960E+01  -7.04191E-01
 124.19   1.62171E+02   8.78868E-02   1.22523E+02  -1.05283E+02
 124.69   6.58898E+01   8.75121E-01  -1.14281E+01  -2.97660E+01
 125.20   2.46564E+02   7.95724E-01   1.48608E+02   1.47076E+01
 125.70   7.10971E+01   6.65635E-01  -7.35981E+00   5.25452E+01
 126.20   1.19800E+02  -4.94126E-01   8.36870E+01  -6.20023E+01
 126.70   6.34107E+01   5.77497E-01   4.95267E+01   1.50679E+01
 127.21   1.33789E+02  -8.24626E-01  -4.03580E+01  -6.40227E+01
 127.71   1.59406E+02  -6.47443E-01  -3.76324E+01  -1.15510E+02
 128.21   9.80360E+01   7.09091E-01   2.35636E+01  -6.49868E+01
 128.72   1.70714E+02   7.32013E-02   1.21891E+02  -1.18868E+02
 129.22   7.52244E+01   5.13717E-01   2.45489E+00  -6.44928E+01
 129.72   3.03069E+02   7.92702E-01   1.29945E+02  -1.31333E+02
 130.22   1.08820E+02   7.86846E-01   2.65186E-01   6.71575E+01
 130.73   1.50795E+02  -6.82177E-01   1.07142E+02  -2.60329E+01
 131.23   6.53558E+01   2.66947E-01   6.12906E+01  -1.45073E+01
 131.73   1.27948E+02  -8.84411E-01   5.79395E+01   1.44507E+01
 132.23   1.53314E+02  -9.35266E-01  -9.57884E+00  -5.34125E+01
 132.74   2.01927E+02   4.08506E-01  -1.39225E-01  -1.84310E+02
 133.24   2.38031E+02   4.94180E-01   1.38109E+02  -1.54103E+02
 133.74   7.64410E+01   4.54796E-02   6.18159E+01  -4.48323E+01
 134.25   3.19099E+02   5.23158E-01   1.63024E+02  -2.17667E+02
 134.75   1.54948E+02   9.04117E-01   2.78741E+01   6.00532E+01
 135.25   2.09864E+02  -5.77613E-01   1.45340E+02   9.06915E+01
 135.75   1.06774E+02  -7.96501E-01   5.95522E+01  -2.49297E+01
 136.26   1.79708E+02  -1.77838E-01   1.43047E+02  -1.03977E+02
 136.76   1.48904E+02  -5.51300E-01   1.14740E+02  -4.76259E+01
 137.26   2.54195E+02  -1.44734E-02   4.39775E+01  -2.50335E+02
 137.77   3.86747E+02   5.66047E-01   1.11845E+02  -2.98562E+02
 138.27   1.75234E+02   7.30288E-01   1.05771E+02   5.60604E+01
 138.77   2.83949E+02   3.58176E-02   2.83748E+02   3.22040E+00
 139.27   1.11921E+02   1.36196E-01   1.09812E+02  -1.53396E+01
 139.78   2.76600E+02   4.46946E-03   2.72394E+02   4.80394E+01
 140.28   1.82289E+02  -8.39665E-01   8.27771E+01   5.43082E+01
 140.78   3.75997E+02  -8.80377E-02   7.90948E+01  -3.66090E+02
 141.28   3.62027E+02   4.96039E-01   1.71318E+02  -2.63563E+02
 141.79   2.07002E+02   4.22991E-01   1.85890E+02  -2.50550E+01
