 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0318E+00 Qsca= 2.0318E+00 Qabs= 0.0000E+00 <cos>= 9.3917E-01
                 Qbk = 1.2702E+00
  theta       S11           POL           S33           S34
  56.69   1.73587E+04   2.51205E-01   1.63416E+04  -3.90652E+03
  57.40   6.08074E+03  -1.17203E-02   3.90353E+03   4.66184E+03
  58.11   8.05211E+03   2.67061E-01   5.73402E+03  -5.22813E+03
  58.82   1.13931E+04   1.85803E-01   1.10011E+04   2.07300E+03
  59.53   1.40844E+03  -7.43590E-01  -9.39185E+02   6.92135E+01
  60.24   8.06573E+03   3.24411E-01   6.65184E+03  -3.73662E+03
  60.94   7.30376E+03   2.55906E-01   5.54166E+03   4.37510E+03
  61.65   2.36555E+03   4.10850E-01  -1.32204E+02  -2.15262E+03
  62.36   8.02255E+03   2.58122E-01   7.72740E+03  -6.00390E+02
  63.07   2.46296E+03   4.47424E-01   5.46502E+02   2.13381E+03
  63.78   2.80942E+03   3.09699E-01   5.42482E+02  -2.61563E+03
  64.49   6.42584E+03   4.41531E-01   5.48439E+03   1.77853E+03
  65.20   1.78483E+03   6.71184E-01  -2.58329E+02   1.29761E+03
  65.91   3.02661E+03   2.41354E-01   2.14807E+03  -2.00313E+03
  66.61   4.19161E+03   6.63632E-01   2.97700E+03   9.84536E+02
  67.32   1.72831E+03   6.01378E-01  -9.88748E+02   9.63926E+02
  68.03   2.52785E+03   6.08167E-01   1.87639E+03  -7.11152E+02
  68.74   3.86239E+03   6.24421E-01   2.87446E+03   9.15966E+02
  69.45   1.41034E+03   7.88982E-01  -8.51942E+02   1.58377E+02
  70.16   1.87660E+03   8.38459E-01   6.85854E+02  -7.58600E+02
  70.87   3.43862E+03   6.85654E-01   2.00219E+03   1.50219E+03
  71.57   1.78974E+03   9.96226E-01   1.55225E+02  -6.23674E+00
  72.28   1.40774E+03   6.75227E-01   2.94360E+02  -9.95764E+02
  72.99   2.97854E+03   9.06690E-01   7.95757E+02   9.72201E+02
  73.70   2.13769E+03   9.13842E-01   5.30861E+02   6.86804E+02
  74.41   1.37433E+03   7.75147E-01   4.20828E+02  -7.59477E+02
  75.12   2.08448E+03   9.93566E-01   1.35235E+02  -1.93498E+02
  75.83   2.47449E+03   9.19438E-01   2.46407E+02   9.41342E+02
  76.54   1.13201E+03   9.13705E-01   3.79671E+02  -2.59756E+02
  77.24   1.37347E+03   9.29546E-01   2.57336E+02  -4.36149E+02
  77.95   1.84185E+03   9.37314E-01  -4.73491E+02   4.33349E+02
  78.66   1.79246E+03   9.51431E-01   5.43108E+02  -9.77139E+01
  79.37   1.21010E+03   9.32845E-01   1.84157E+02  -3.95167E+02
  80.08   1.26250E+03   8.81787E-01  -5.76647E+02   1.48480E+02
  80.79   2.02357E+03   9.93094E-01   8.96259E+01   2.19837E+02
  81.50   2.13495E+03   9.04501E-01   1.52293E+02  -8.97669E+02
  82.20   1.01814E+03   9.70774E-01  -7.74646E+01   2.31745E+02
  82.91   7.08010E+02   7.09005E-01  -1.02988E+02   4.88554E+02
  83.62   1.49742E+03   8.15533E-01  -5.28526E+02  -6.86735E+02
  84.33   2.15679E+03   9.65655E-01  -2.92609E+02  -4.77932E+02
  85.04   1.44888E+03   8.18872E-01   8.24562E+02   1.08142E+02
  85.75   9.10848E+02   9.16952E-01  -2.67029E+02   2.46524E+02
  86.46   1.26166E+03   6.47669E-01  -9.59150E+02   6.40161E+01
  87.17   1.07099E+03   8.08233E-01  -1.35665E+02  -6.15902E+02
  87.87   1.79242E+03   9.15982E-01  -2.31468E+02  -6.80886E+02
  88.58   1.82702E+03   8.48829E-01   6.75261E+02   6.90620E+02
  89.29   8.41030E+02   8.93078E-01  -1.96326E+02   3.23463E+02
  90.00   1.04238E+03   2.13251E-01  -9.26900E+02   4.21904E+02
  90.71   8.71107E+02   7.14312E-01  -1.83877E+02  -5.81232E+02
  91.42   1.67216E+03   7.89617E-01  -4.56660E+02  -9.18812E+02
  92.13   1.91632E+03   8.91657E-01   7.23788E+02   4.78290E+02
  92.83   6.42150E+02   9.80751E-01  -9.58241E+01   8.08688E+01
  93.54   1.65699E+03   4.79806E-01  -5.36111E+02   1.35134E+03
  94.25   1.06801E+03   8.08878E-01  -4.60662E+02  -4.26768E+02
  94.96   1.08830E+03   1.35886E-01  -1.07246E+03  -1.11137E+02
  95.67   1.08854E+03   8.87406E-01   2.61658E+02  -4.28189E+02
  96.38   9.47121E+02   6.60704E-01  -5.43070E+02  -4.58834E+02
  97.09   1.29518E+03   7.72297E-01   3.82569E+02   7.28428E+02
  97.80   5.91236E+02   6.07108E-01  -4.35994E+02  -1.75009E+02
  98.50   2.11273E+03   5.97668E-01  -4.34441E+02   1.63720E+03
  99.21   1.02046E+03   4.20991E-01  -4.55360E+02  -8.05865E+02
  99.92   1.63237E+03   3.18852E-01  -7.71389E+02   1.34116E+03
 100.63   1.61299E+03   5.30683E-01  -5.15727E+01  -1.36615E+03
 101.34   7.79911E+02  -9.42653E-02  -6.33191E+02   4.49361E+02
 102.05   1.43674E+03   5.35932E-01   4.54663E+02  -1.12455E+03
 102.76   7.86434E+02   1.87129E-01  -7.71294E+02   4.38879E+01
 103.46   1.29322E+03   5.55127E-01   7.95852E+02  -7.23639E+02
 104.17   1.47560E+03   4.50238E-01  -1.31514E+03  -8.00315E+01
 104.88   2.91765E+03   6.23750E-01   1.77635E+03  -1.43013E+03
 105.59   2.71554E+03   4.12676E-01  -1.79116E+03  -1.70590E+03
 106.30   9.51319E+03   5.04017E-01   6.11076E+03  -5.49265E+03
 107.01   7.75729E+03   1.37566E-01   2.05071E+03  -7.40482E+03
 107.72   2.45104E+04   3.27378E-01   1.91608E+04  -1.30091E+04
 108.43   2.73176E+04   1.35361E-01   2.34732E+04  -1.34755E+04
 109.13   4.10573E+04   1.97772E-01   3.90316E+04  -9.81345E+03
 109.84   5.97635E+04   3.08833E-01   5.68192E+04  -1.61289E+03
 110.55   3.73536E+04   2.13983E-01   3.39253E+04   1.34340E+04
 111.26   5.14860E+04   4.69816E-01   4.11056E+04   1.93916E+04
 111.97   9.92194E+03   3.61238E-02  -1.29045E+03   9.83113E+03
 112.68   6.68586E+03  -2.52014E-01   4.70016E+03   4.44638E+03
 113.39   1.47015E+04   1.66794E-01   1.37798E+04  -4.49878E+03
 114.09   3.57828E+04   7.17186E-01   2.47542E+04   3.00878E+03
 114.80   1.86095E+04   5.49289E-01   1.23004E+04   9.51450E+03
