 Complex refractive index= 1.500E+00 +-1.000E-01*i
 radius= 1.0000E+00 lambda= 6.2832E+00 x= 1.0000E+00

Qext=-6.6988E-02 Qsca= 2.4130E-01 Qabs=-3.0828E-01 <cos>= 1.9036E-01
                 Qbk = 2.1532E-01
  theta       S11         S12=S21       S33=S44      S34=-S43       P
  34.69   1.06943E-01  -1.86521E-02   1.05302E-01  -7.53268E-04  0.17441
  35.20   1.06228E-01  -1.90938E-02   1.04495E-01  -7.71660E-04  0.17974
  35.70   1.05508E-01  -1.95363E-02   1.03681E-01  -7.90124E-04  0.18516
  36.20   1.04785E-01  -1.99797E-02   1.02859E-01  -8.08656E-04  0.19067
  36.70   1.04058E-01  -2.04236E-02   1.02031E-01  -8.27245E-04  0.19627
  37.21   1.03328E-01  -2.08680E-02   1.01195E-01  -8.45888E-04  0.20196
  37.71   1.02595E-01  -2.13126E-02   1.00353E-01  -8.64576E-04  0.20774
  38.21   1.01859E-01  -2.17573E-02   9.95045E-02  -8.83302E-04  0.21360
  38.72   1.01121E-01  -2.22018E-02   9.86494E-02  -9.02060E-04  0.21956
  39.22   1.00380E-01  -2.26461E-02   9.77881E-02  -9.20843E-04  0.22560
  39.72   9.96375E-02  -2.30898E-02   9.69207E-02  -9.39643E-04  0.23174
  40.22   9.88929E-02  -2.35329E-02   9.60473E-02  -9.58455E-04  0.23796
  40.73   9.81466E-02  -2.39751E-02   9.51682E-02  -9.77272E-04  0.24428
  41.23   9.73989E-02  -2.44163E-02   9.42836E-02  -9.96086E-04  0.25068
  41.73   9.66499E-02  -2.48563E-02   9.33935E-02  -1.01489E-03  0.25718
  42.23   9.58999E-02  -2.52950E-02   9.24981E-02  -1.03368E-03  0.26376
  42.74   9.51492E-02  -2.57320E-02   9.15976E-02  -1.05244E-03  0.27044
  43.24   9.43978E-02  -2.61674E-02   9.06921E-02  -1.07118E-03  0.27720
  43.74   9.36461E-02  -2.66009E-02   8.97819E-02  -1.08988E-03  0.28406
  44.25   9.28942E-02  -2.70323E-02   8.88671E-02  -1.10854E-03  0.29100
  44.75   9.21424E-02  -2.74615E-02   8.79478E-02  -1.12715E-03  0.29803
  45.25   9.13908E-02  -2.78883E-02   8.70242E-02  -1.14570E-03  0.30515
  45.75   9.06397E-02  -2.83126E-02   8.60964E-02  -1.16419E-03  0.31236
  46.26   8.98893E-02  -2.87341E-02   8.51647E-02  -1.18261E-03  0.31966
  46.76   8.91397E-02  -2.91528E-02   8.42292E-02  -1.20095E-03  0.32705
  47.26   8.83912E-02  -2.95684E-02   8.32900E-02  -1.21921E-03  0.33452
  47.77   8.76440E-02  -2.99809E-02   8.23474E-02  -1.23739E-03  0.34208
  48.27   8.68983E-02  -3.03900E-02   8.14014E-02  -1.25547E-03  0.34972
  48.77   8.61542E-02  -3.07956E-02   8.04522E-02  -1.27345E-03  0.35745
  49.27   8.54120E-02  -3.11976E-02   7.95000E-02  -1.29132E-03  0.36526
  49.78   8.46719E-02  -3.15958E-02   7.85450E-02  -1.30908E-03  0.37316
  50.28   8.39340E-02  -3.19900E-02   7.75873E-02  -1.32672E-03  0.38113
  50.78   8.31985E-02  -3.23802E-02   7.66270E-02  -1.34423E-03  0.38919
  51.28   8.24656E-02  -3.27662E-02   7.56644E-02  -1.36162E-03  0.39733
  51.79   8.17355E-02  -3.31478E-02   7.46995E-02  -1.37886E-03  0.40555
  52.29   8.10084E-02  -3.35249E-02   7.37326E-02  -1.39597E-03  0.41384
  52.79   8.02844E-02  -3.38974E-02   7.27637E-02  -1.41292E-03  0.42222
  53.30   7.95638E-02  -3.42652E-02   7.17931E-02  -1.42972E-03  0.43066
  53.80   7.88466E-02  -3.46280E-02   7.08208E-02  -1.44636E-03  0.43918
  54.30   7.81330E-02  -3.49859E-02   6.98471E-02  -1.46284E-03  0.44777
  54.80   7.74234E-02  -3.53387E-02   6.88721E-02  -1.47914E-03  0.45643
  55.31   7.67176E-02  -3.56862E-02   6.78959E-02  -1.49527E-03  0.46516
  55.81   7.60161E-02  -3.60283E-02   6.69187E-02  -1.51122E-03  0.47396
  56.31   7.53188E-02  -3.63650E-02   6.59407E-02  -1.52698E-03  0.48281
  56.82   7.46260E-02  -3.66961E-02   6.49619E-02  -1.54255E-03  0.49173
  57.32   7.39377E-02  -3.70215E-02   6.39825E-02  -1.55792E-03  0.50071
  57.82   7.32542E-02  -3.73411E-02   6.30028E-02  -1.57309E-03  0.50975
  58.32   7.25756E-02  -3.76549E-02   6.20227E-02  -1.58806E-03  0.51884
  58.83   7.19021E-02  -3.79626E-02   6.10424E-02  -1.60281E-03  0.52798
  59.33   7.12337E-02  -3.82643E-02   6.00622E-02  -1.61735E-03  0.53717
  59.83   7.05706E-02  -3.85597E-02   5.90821E-02  -1.63167E-03  0.54640
  60.34   6.99129E-02  -3.88489E-02   5.81022E-02  -1.64576E-03  0.55568
  60.84   6.92608E-02  -3.91318E-02   5.71228E-02  -1.65963E-03  0.56499
  61.34   6.86144E-02  -3.94082E-02   5.61439E-02  -1.67326E-03  0.57434
  61.84   6.79738E-02  -3.96781E-02   5.51656E-02  -1.68665E-03  0.58373
  62.35   6.73392E-02  -3.99414E-02   5.41882E-02  -1.69980E-03  0.59314
  62.85   6.67105E-02  -4.01980E-02   5.32117E-02  -1.71271E-03  0.60257
  63.35   6.60881E-02  -4.04479E-02   5.22362E-02  -1.72537E-03  0.61203
  63.85   6.54718E-02  -4.06910E-02   5.12619E-02  -1.73777E-03  0.62150
  64.36   6.48620E-02  -4.09272E-02   5.02890E-02  -1.74992E-03  0.63099
  64.86   6.42586E-02  -4.11565E-02   4.93174E-02  -1.76181E-03  0.64048
  65.36   6.36618E-02  -4.13787E-02   4.83475E-02  -1.77343E-03  0.64998
  65.87   6.30716E-02  -4.15940E-02   4.73792E-02  -1.78479E-03  0.65947
  66.37   6.24882E-02  -4.18021E-02   4.64127E-02  -1.79588E-03  0.66896
  66.87   6.19117E-02  -4.20031E-02   4.54481E-02  -1.80669E-03  0.67844
  67.37   6.13420E-02  -4.21969E-02   4.44856E-02  -1.81723E-03  0.68790
  67.88   6.07794E-02  -4.23835E-02   4.35251E-02  -1.82748E-03  0.69733
  68.38   6.02239E-02  -4.25628E-02   4.25670E-02  -1.83746E-03  0.70674
  68.88   5.96755E-02  -4.27347E-02   4.16112E-02  -1.84715E-03  0.71612
  69.39   5.91343E-02  -4.28994E-02   4.06579E-02  -1.85655E-03  0.72546
  69.89   5.86005E-02  -4.30566E-02   3.97072E-02  -1.86567E-03  0.73475
  70.39   5.80740E-02  -4.32065E-02   3.87591E-02  -1.87449E-03  0.74399
  70.89   5.75549E-02  -4.33489E-02   3.78139E-02  -1.88302E-03  0.75318
  71.40   5.70433E-02  -4.34839E-02   3.68716E-02  -1.89125E-03  0.76230
  71.90   5.65393E-02  -4.36115E-02   3.59322E-02  -1.89918E-03  0.77135
  72.40   5.60428E-02  -4.37315E-02   3.49960E-02  -1.90681E-03  0.78032
  72.91   5.55540E-02  -4.38440E-02   3.40629E-02  -1.91414E-03  0.78922
  73.41   5.50728E-02  -4.39491E-02   3.31331E-02  -1.92117E-03  0.79802
  73.91   5.45994E-02  -4.40466E-02   3.22067E-02  -1.92789E-03  0.80672
  74.41   5.41337E-02  -4.41367E-02   3.12838E-02  -1.93430E-03  0.81533
  74.92   5.36759E-02  -4.42192E-02   3.03644E-02  -1.94041E-03  0.82382
  75.42   5.32258E-02  -4.42942E-02   2.94487E-02  -1.94620E-03  0.83219
  75.92   5.27837E-02  -4.43617E-02   2.85367E-02  -1.95169E-03  0.84044
  76.42   5.23494E-02  -4.44217E-02   2.76286E-02  -1.95686E-03  0.84856
  76.93   5.19230E-02  -4.44742E-02   2.67243E-02  -1.96172E-03  0.85654
  77.43   5.15045E-02  -4.45193E-02   2.58241E-02  -1.96627E-03  0.86438
  77.93   5.10940E-02  -4.45569E-02   2.49279E-02  -1.97050E-03  0.87206
  78.44   5.06914E-02  -4.45870E-02   2.40358E-02  -1.97442E-03  0.87958
  78.94   5.02968E-02  -4.46098E-02   2.31479E-02  -1.97803E-03  0.88693
  79.44   4.99102E-02  -4.46251E-02   2.22644E-02  -1.98131E-03  0.89411
  79.94   4.95316E-02  -4.46331E-02   2.13852E-02  -1.98429E-03  0.90110
  80.45   4.91609E-02  -4.46338E-02   2.05104E-02  -1.98694E-03  0.90791
  80.95   4.87983E-02  -4.46271E-02   1.96401E-02  -1.98928E-03  0.91452
  81.45   4.84436E-02  -4.46132E-02   1.87744E-02  -1.99131E-03  0.92093
  81.96   4.80968E-02  -4.45920E-02   1.79133E-02  -1.99302E-03  0.92713
  82.46   4.77581E-02  -4.45636E-02   1.70569E-02  -1.99441E-03  0.93311
  82.96   4.74273E-02  -4.45281E-02   1.62053E-02  -1.99549E-03  0.93887
  83.46   4.71044E-02  -4.44855E-02   1.53585E-02  -1.99625E-03  0.94440
  83.97   4.67895E-02  -4.44358E-02   1.45165E-02  -1.99670E-03  0.94970
  84.47   4.64824E-02  -4.43790E-02   1.36795E-02  -1.99683E-03  0.95475
  84.97   4.61833E-02  -4.43153E-02   1.28475E-02  -1.99665E-03  0.95955
  85.47   4.58920E-02  -4.42447E-02   1.20204E-02  -1.99616E-03  0.96411
  85.98   4.56085E-02  -4.41673E-02   1.11985E-02  -1.99536E-03  0.96840
  86.48   4.53328E-02  -4.40830E-02   1.03817E-02  -1.99425E-03  0.97243
  86.98   4.50649E-02  -4.39919E-02   9.57009E-03  -1.99283E-03  0.97619
  87.49   4.48047E-02  -4.38942E-02   8.76369E-03  -1.99110E-03  0.97968
  87.99   4.45523E-02  -4.37898E-02   7.96256E-03  -1.98907E-03  0.98289
  88.49   4.43075E-02  -4.36789E-02   7.16675E-03  -1.98673E-03  0.98581
