 radius= 1.0000E+00 lambda= 5.3200E-01 x= 1.1810E+01

Qext= 2.8352E+00 Qsca= 2.8352E+00 Qabs= 0.0000E+00 <cos>= 8.1030E-01
                 Qbk = 1.7245E-02
  theta       S11           POL           S33           S34
  40.22   6.26452E+01  -3.78158E-01   5.15783E+01  -2.65120E+01
  40.73   7.15116E+01  -3.14862E-01   6.09176E+01  -2.99328E+01
  41.23   8.04563E+01  -2.60152E-01   7.05543E+01  -3.25146E+01
  41.73   8.90997E+01  -2.12840E-01   8.00798E+01  -3.41519E+01
  42.23   9.70894E+01  -1.71632E-01   8.91031E+01  -3.47750E+01
  42.74   1.04111E+02  -1.35378E-01   9.72639E+01  -3.43531E+01
  43.24   1.09897E+02  -1.03145E-01   1.04244E+02  -3.28948E+01
  43.74   1.14236E+02  -7.42184E-02   1.09777E+02  -3.04482E+01
  44.25   1.16978E+02  -4.80800E-02   1.13656E+02  -2.70992E+01
  44.75   1.18035E+02  -2.43860E-02   1.15743E+02  -2.29678E+01
  45.25   1.17388E+02  -2.95654E-03   1.15967E+02  -1.82043E+01
  45.75   1.15080E+02   1.62318E-02   1.14330E+02  -1.29827E+01
  46.26   1.11215E+02   3.30326E-02   1.10902E+02  -7.49491E+00
  46.76   1.05955E+02   4.71047E-02   1.05819E+02  -1.94257E+00
  47.26   9.95054E+01   5.78667E-02   9.92780E+01   3.47022E+00
  47.77   9.21128E+01   6.44282E-02   9.15234E+01   8.54493E+00
  48.27   8.40509E+01   6.54875E-02   8.28416E+01   1.30965E+01
  48.77   7.56098E+01   5.91985E-02   7.35469E+01   1.69605E+01
  49.27   6.70848E+01   4.30014E-02   6.39693E+01   1.99993E+01
  49.78   5.87644E+01   1.34585E-02   5.44415E+01   2.21079E+01
  50.28   5.09196E+01  -3.38145E-02   4.52855E+01   2.32178E+01
  50.78   4.37935E+01  -1.03880E-01   3.68007E+01   2.32998E+01
  51.28   3.75926E+01  -2.01396E-01   2.92523E+01   2.23649E+01
  51.79   3.24803E+01  -3.28053E-01   2.28618E+01   2.04639E+01
  52.29   2.85709E+01  -4.78263E-01   1.77989E+01   1.76856E+01
  52.79   2.59274E+01  -6.34893E-01   1.41763E+01   1.41525E+01
  53.30   2.45602E+01  -7.70127E-01   1.20463E+01   1.00166E+01
  53.80   2.44286E+01  -8.55796E-01   1.14004E+01   5.45253E+00
  54.30   2.54440E+01  -8.77800E-01   1.21710E+01   6.50686E-01
  54.80   2.74754E+01  -8.41596E-01   1.42357E+01  -4.19044E+00
  55.31   3.03560E+01  -7.64925E-01   1.74239E+01  -8.87250E+00
  55.81   3.38914E+01  -6.66941E-01   2.15250E+01  -1.32053E+01
  56.31   3.78688E+01  -5.62016E-01   2.62981E+01  -1.70144E+01
  56.82   4.20662E+01  -4.58753E-01   3.14832E+01  -2.01484E+01
  57.32   4.62623E+01  -3.61386E-01   3.68119E+01  -2.24849E+01
  57.82   5.02457E+01  -2.71486E-01   4.20198E+01  -2.39352E+01
  58.32   5.38234E+01  -1.89224E-01   4.68564E+01  -2.44480E+01
  58.83   5.68281E+01  -1.14145E-01   5.10963E+01  -2.40109E+01
  59.33   5.91248E+01  -4.55960E-02   5.45473E+01  -2.26510E+01
  59.83   6.06147E+01   1.70511E-02   5.70575E+01  -2.04333E+01
  60.34   6.12386E+01   7.42816E-02   5.85210E+01  -1.74575E+01
  60.84   6.09774E+01   1.26374E-01   5.88806E+01  -1.38540E+01
  61.34   5.98516E+01   1.73351E-01   5.81288E+01  -9.77757E+00
  61.84   5.79185E+01   2.14930E-01   5.63064E+01  -5.40119E+00
  62.35   5.52684E+01   2.50456E-01   5.34992E+01  -9.08310E-01
  62.85   5.20191E+01   2.78810E-01   4.98326E+01   3.51491E+00
  63.35   4.83097E+01   2.98292E-01   4.54650E+01   7.68741E+00
  63.85   4.42931E+01   3.06472E-01   4.05798E+01   1.14409E+01
  64.36   4.01292E+01   3.00029E-01   3.53759E+01   1.46266E+01
  64.86   3.59770E+01   2.74644E-01   3.00592E+01   1.71217E+01
  65.36   3.19875E+01   2.25055E-01   2.48327E+01   1.88339E+01
  65.87   2.82978E+01   1.45533E-01   1.98878E+01   1.97048E+01
  66.37   2.50247E+01   3.11651E-02   1.53963E+01   1.97125E+01
  66.87   2.22613E+01  -1.19697E-01   1.15035E+01   1.88715E+01
  67.37   2.00730E+01  -3.01897E-01   8.32284E+00   1.72318E+01
  67.88   1.84966E+01  -5.00320E-01   5.93182E+00   1.48761E+01
  68.38   1.75395E+01  -6.90185E-01   4.37031E+00   1.19160E+01
  68.88   1.71810E+01  -8.43280E-01   3.64009E+00   8.48666E+00
  69.39   1.73748E+01  -9.38111E-01   3.70647E+00   4.74049E+00
  69.89   1.80521E+01  -9.67292E-01   4.50136E+00   8.40592E-01
  70.39   1.91265E+01  -9.37322E-01   5.92785E+00  -3.04654E+00
  70.89   2.04985E+01  -8.62587E-01   7.86585E+00  -6.75819E+00
  71.40   2.20614E+01  -7.58800E-01   1.01787E+01  -1.01423E+01
  71.90   2.37062E+01  -6.39075E-01   1.27200E+01  -1.30638E+01
  72.40   2.53275E+01  -5.12760E-01   1.53412E+01  -1.54101E+01
  72.91   2.68278E+01  -3.85830E-01   1.78980E+01  -1.70953E+01
  73.41   2.81222E+01  -2.61797E-01   2.02575E+01  -1.80635E+01
  73.91   2.91418E+01  -1.42585E-01   2.23032E+01  -1.82906E+01
  74.41   2.98356E+01  -2.92154E-02   2.39400E+01  -1.77842E+01
  74.92   3.01725E+01   7.77129E-02   2.50975E+01  -1.65830E+01
  75.42   3.01414E+01   1.77691E-01   2.57321E+01  -1.47540E+01
  75.92   2.97506E+01   2.70065E-01   2.58273E+01  -1.23893E+01
  76.42   2.90259E+01   3.53855E-01   2.53936E+01  -9.60103E+00
